iterasi,energi
1,3423.45
2,3247.65
3,2906.25
4,2906.25
5,2906.25
6,2783.40
7,2783.40
8,2783.40
9,2783.40
10,2783.40
11,2722.35
12,2722.35
13,2722.35
14,2722.35
15,2722.35
16,2722.35
17,2722.35
18,2722.35
19,2722.35
20,2722.35
21,2722.35
22,2722.35
23,2722.35
24,2722.35
25,2722.35
26,2722.35
27,2722.35
28,2722.35
29,2722.35
30,2722.35
31,2722.35
32,2722.35
33,2722.35
34,2722.35
35,2722.35
36,2722.35
37,2722.35
38,2722.35
39,2722.35
40,2722.35
41,2722.35
42,2706.45
43,2706.45
44,2706.45
45,2706.45
46,2706.45
47,2706.45
48,2706.45
49,2706.45
50,2706.45
51,2706.45
52,2706.45
53,2706.45
54,2706.45
55,2706.45
56,2706.45
57,2706.45
58,2706.45
59,2706.45
60,2706.45
61,2706.45
62,2706.45
63,2706.45
64,2706.45
65,2706.45
66,2706.45
67,2706.45
68,2706.45
69,2706.45
70,2706.45
71,2706.45
72,2706.45
73,2706.45
74,2706.45
75,2706.45
76,2706.45
77,2706.45
78,2641.80
79,2641.80
80,2641.80
81,2641.80
82,2641.80
83,2641.80
84,2641.80
85,2641.80
86,2641.80
87,2641.80
88,2641.80
89,2641.80
90,2641.80
91,2641.80
92,2641.80
93,2588.85
94,2588.85
95,2588.85
96,2588.85
97,2588.85
98,2588.85
99,2588.85
100,2588.85
101,2588.85
102,2588.85
103,2588.85
104,2588.85
105,2588.85
106,2588.85
107,2588.85
108,2588.85
109,2588.85
110,2510.70
111,2510.70
112,2510.70
113,2510.70
114,2510.70
115,2510.70
116,2510.70
117,2510.70
118,2510.70
119,2510.70
120,2510.70
121,2510.70
122,2510.70
123,2510.70
124,2510.70
125,2446.95
126,2446.95
127,2444.25
128,2444.25
129,2444.25
130,2444.25
131,2444.25
132,2444.25
133,2444.25
134,2444.25
135,2444.25
136,2444.25
137,2444.25
138,2444.25
139,2444.25
140,2444.25
141,2444.25
142,2444.25
143,2444.25
144,2444.25
145,2444.25
146,2444.25
147,2444.25
148,2444.25
149,2444.25
150,2444.25
151,2444.25
152,2444.25
153,2444.25
154,2444.25
155,2444.25
156,2444.25
157,2444.25
158,2444.25
159,2444.25
160,2444.25
161,2444.25
162,2444.25
163,2380.05
164,2380.05
165,2380.05
166,2380.05
167,2380.05
168,2380.05
169,2380.05
170,2380.05
171,2380.05
172,2380.05
173,2380.05
174,2380.05
175,2380.05
176,2380.05
177,2380.05
178,2380.05
179,2370.30
180,2370.30
181,2370.30
182,2370.30
183,2370.30
184,2370.30
185,2370.30
186,2370.30
187,2370.30
188,2370.30
189,2370.30
190,2370.30
191,2370.30
192,2370.30
193,2370.30
194,2370.30
195,2370.30
196,2370.30
197,2370.30
198,2370.30
199,2370.30
200,2370.30
